date	close
16-Apr-2002	0
8-May-2002	62.12
15-Aug-2002	-176.07
17-Sep-2002	170.09
16-Oct-2002	33.71
14-Nov-2002	-81.62
17-Dec-2002	-51.14
12-Feb-2003	-168.66
14-Mar-2003	-238.74
16-Apr-2003	-143.83
11-May-2003	-29.82
26-May-2003	-249.68
16-Jul-2003	-139.58
15-Aug-2003	-118.44
17-Sep-2003	-48.72
16-Oct-2003	-84.84
14-Nov-2003	-107.17
17-Dec-2003	-83.32
16-Feb-2004	-604.75
13-Mar-2004	-218.59
16-Mar-2004	-322.73
15-Apr-2004	-412.72
14-May-2004	-98.4
16-Jun-2004	-99.73
15-Jul-2004	-331.48
14-Aug-2004	-361.87
16-Sep-2004	-287.24
15-Oct-2004	78
13-Nov-2004	-181.62
16-Dec-2004	-229.19
12-Feb-2005	-379.81
14-Mar-2005	-362.53
16-Apr-2005	-276.68
15-May-2005	-285.66
26-May-2005	-323.17
17-Jun-2005	-196.75
16-Jul-2005	-128.12
15-Aug-2005	-342.36
17-Sep-2005	-109.54
16-Oct-2005	-121.62
14-Nov-2005	-97.43
17-Dec-2005	-137.23
12-Feb-2006	-340.25
14-Mar-2006	-296.39
16-Apr-2006	-307.18
15-May-2006	-178.31
26-May-2006	-315.63
13-Jun-2006	-154.18
16-Jul-2006	-196.17
15-Aug-2006	2.39
17-Sep-2006	-10.96
16-Oct-2006	-74.55
14-Nov-2006	-162.59
17-Dec-2006	-244.63
12-Feb-2007	-427.09
14-Mar-2007	-453.85
16-Apr-2007	-356.27
15-May-2007	-70.24
26-May-2007	-451.67
13-Jun-2007	-269.1
16-Jul-2007	-295.85
15-Aug-2007	-222.92
17-Sep-2007	-196.99
16-Oct-2007	-374.88
14-Nov-2007	-467.93
17-Dec-2007	-469.47
12-Feb-2008	-676.06
16-Mar-2008	-660.57
15-Apr-2008	-515.51
14-May-2008	-518.89
25-May-2008	-715.07
16-Jun-2008	-484.19
15-Jul-2008	-764.67
14-Aug-2008	-821.51
16-Sep-2008	-540.05
15-Oct-2008	-536.66
13-Nov-2008	-476.17
16-Dec-2008	-572.55
12-Feb-2009	-641.78
14-Mar-2009	-592.27
16-Apr-2009	-577.59
15-May-2009	-572.47
26-May-2009	-682.62
17-Jun-2009	-570.43
16-Jul-2009	-546.31
15-Aug-2009	-550.68
17-Sep-2009	-544.09
16-Oct-2009	-548.48
14-Nov-2009	-587.92
17-Dec-2009	-587.78
12-Feb-2010	-671.72
14-Mar-2010	-621.76
16-Apr-2010	-706.68
15-May-2010	-727.68
26-May-2010	-846.48
13-Jun-2010	-809.36
16-Jul-2010	-1071.51
15-Aug-2010	-953.83
17-Sep-2010	-841.41
16-Oct-2010	-935.26
14-Nov-2010	-928.85
17-Dec-2010	-789.81
16-Feb-2011	-1033.29
14-Mar-2011	-1086.26
16-Apr-2011	-1138.23
15-May-2011	-1017.76
20-Jul-2011	-1035.13
15-Aug-2011	-951.88
17-Sep-2011	-827.31
16-Oct-2011	-914.18
30-Oct-2011	-611.65
31-Dec-2011	-948.14
12-Feb-2012	-1088.57
16-Mar-2012	-1025.66
7-Apr-2012	-1043.95
25-May-2012	-1066.81
16-Jun-2012	-1028.25
15-Jul-2012	-1196.57
14-Aug-2012	-987.23
12-Sep-2012	-734.95
20-Nov-2012	-807.52
16-Dec-2012	-996.11
12-Feb-2013	-1329.47
19-Apr-2013	-1116.96
15-May-2013	-994.06
26-May-2013	-1220.58
17-Jun-2013	-989.43
16-Jul-2013	-1085.24
16-Oct-2013	-1066.72
14-Nov-2013	-1215.76
17-Dec-2013	-1162.48
14-Mar-2014	-1424.32
17-Mar-2014	-1606.66
16-Apr-2014	-1386.24
15-May-2014	-1253.63
13-Jun-2014	-1480.57
15-Aug-2014	-1531.72
17-Sep-2014	-1252.97
16-Oct-2014	-1383.92
18-Nov-2014	-1321.53
12-Feb-2015	-1697.55
14-Mar-2015	-1808.1
16-Apr-2015	-1825.73
27-Apr-2015	-1735.62
13-Jul-2015	-1862.28
7-Aug-2015	-1687.98
15-Aug-2015	-1934.24
13-Sep-2015	-1778.25
21-Dec-2015	-1637.34
12-Feb-2016	-1679.21
16-Mar-2016	-1516.72
18-May-2016	-1755.32
25-May-2016	-1604.18
16-Jun-2016	-1611.07
15-Jul-2016	-1750.97
21-Aug-2016	-1808.04
28-Nov-2016	-1438.7
23-Dec-2016	-1840.86
7-Aug-2017	-1933.91